"Frequency / Hz","Iout:Measured current","Iout:Measured current"
100,33.952725758705277,-1.0300178056989211
200,33.947600737628335,-1.936601391490038
300,33.942774680627046,-2.8485674971395887
400,33.935386304574152,-3.7592112946316316
500,33.927382040060053,-4.65917165491215
600,33.918184798711913,-5.5577670278354532
700,33.90817394723382,-6.4444989221736657
800,33.898849836928065,-7.3344792512542378
900,33.888171317557735,-8.2227404242609676
1000,33.87675604762849,-9.1135987733266948
1100,33.864040041768348,-10.005541883661492
1200,33.849705481526826,-10.894522700071615
1300,33.834201546969787,-11.785080061273129
1400,33.817553160553338,-12.661023125030564
1500,33.800773412105507,-13.540836048003577
1600,33.782349086152372,-14.410827387068869
1700,33.764554989988596,-15.27655784535288
1800,33.746860817210347,-16.13501621069593
1900,33.732709574701801,-17.005003391231238
2000,33.718189889929292,-17.913583763318961
2100,33.697301220700361,-18.853816229919708
2200,33.667522249445895,-19.788751871993966
2300,33.63277274799578,-20.673288799610361
2400,33.598071619921065,-21.519327890219291
2500,33.567554438865123,-22.345466825888145
2600,33.537511253881036,-23.178987724397466
2700,33.50767842694426,-24.005032965782263
2800,33.477088762871333,-24.827771444613173
2900,33.449567463491725,-25.632717001131091
3000,33.427367791749504,-26.460363674830646
3100,33.404578823151418,-27.358561620693177
3200,33.36745315850267,-28.307065542096645
3300,33.315388801413384,-29.174309721762778
3400,33.26641110025777,-29.93029906931762
3500,33.230951048342433,-30.678243128661084
3600,33.195918100905779,-31.460439808533831
3700,33.161703044868219,-32.236506209910289
3800,33.131588899362782,-33.025733314203443
3900,33.101043202394031,-33.890665113150405
4000,33.053733018692128,-34.787002216545027
4100,32.992984625231315,-35.567525712650486
4200,32.946763672139248,-36.219766319911855
4300,32.918956296113862,-36.951412003016529
4400,32.885487889839524,-37.770593727661989
4500,32.843312051574429,-38.593868514947538
4600,32.794502222900206,-39.428025678049281
4700,32.733618409941798,-40.200316666588463
4800,32.676359589899363,-40.843883266668307
4900,32.647500370587117,-41.465400152306323
5000,32.620461794229413,-42.315079632826702
5100,32.561363472573994,-43.151154230474539
5200,32.503742527036529,-43.856835002739423
5300,32.450243659293648,-44.542090765244517
5400,32.408893799268654,-45.164421315208827
5500,32.381211855245787,-45.93311048497565
5600,32.322875694040206,-46.825119431462177
5700,32.245534480140741,-47.454975247208708
5800,32.204296662317773,-48.022034575140736
5900,32.168223459861593,-48.719325300117113
6000,32.126092106152157,-49.492163335910021
6100,32.060863459772591,-50.276373059787275
6200,31.991476370206012,-50.822045814698299
6300,31.968291402979041,-51.408060488331458
6400,31.920523781629882,-52.281208552423792
6500,31.848291413142185,-52.949906518213311
6600,31.785038964015637,-53.524770954072686
6700,31.750509732422149,-54.057554788326101
6800,31.716276892222805,-54.87733602177218
6900,31.630202913706103,-55.591362299512475
7000,31.582387263123003,-56.04082220183809
7100,31.546475506163514,-56.73452972416807
7200,31.491620729163749,-57.496434845586037
7300,31.407323549940621,-58.106371589410486
7400,31.371877368920313,-58.493619414721543
7500,31.338380944547879,-59.331115565242321
7600,31.257204490777028,-59.965307669153496
7700,31.200572156924995,-60.45650214780099
7800,31.172155625224107,-61.051301789182027
7900,31.102349253002885,-61.88658914223106
8000,31.024210476919226,-62.238260779415
8100,31.005342589827031,-62.846521151172709
8200,30.945004580627263,-63.586054644325884
8300,30.86200032330121,-64.117554406584347
8400,30.839841909338887,-64.551058021167236
8500,30.775824504951675,-65.415416276647989
8600,30.696508390026629,-65.788088237448449
8700,30.667806309284252,-66.293702168274123
8800,30.61874845803224,-67.086519843636239
8900,30.52548422151963,-67.490550062277975
9000,30.515292975890901,-68.045942384239964
9100,30.433911976012414,-68.760583877359068
9200,30.363845432288766,-69.121248152037381
9300,30.352861633969638,-69.68848931554119
9400,30.255742472460419,-70.429501126175992
9500,30.218865935114589,-70.70892016908482
9600,30.174678175579032,-71.439116319147232
9700,30.079641053806746,-71.952072167037613
9800,30.067345152771789,-72.279934765268479
9900,29.991103811735446,-73.127361757691958
10000,29.929488309692289,-73.403703346311829
11000,29.391091268763503,-78.376423695935429
12000,28.826327145725756,-83.493938371804731
13000,28.292855588549219,-88.074352985967664
14000,27.746011382206337,-92.027173953207424
15000,27.217282746714716,-96.55502331593776
16000,26.679955939793448,-100.19784131693723
17000,26.293938817786994,-104.28529511581281
18000,25.80674258898491,-107.8039365912561
19000,25.185636269932999,-111.92680336964158
20000,24.86698569717808,-115.44947161609424
21000,24.283519885561169,-119.44605466949449
22000,23.912676335560331,-119.72403237831357
23000,23.260675630024323,-120.11801301575888
24000,28.256868364540431,-143.66265035861835
25000,23.736373061793028,-188.02328514101475
